update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,3044.1945251569687,0,0.0,0.0,0,0,0.0,0.0,0,0,1.9269968420267105,-0.10406611394137144,-0.014392204931937158,0.0007458596446667798,0.031953161713783755,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,3128.556836367583,1,0.0,0.0,0,0,0.0,0.0,0,0,1.93596450984478,-0.07444415986537933,-0.014188988599926233,0.00013057735577604035,0.007867246407580734,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,3225.5263081411176,1,0.0,0.0,0,0,0.0,0.0,0,0,1.94097800552845,-0.06395670725032687,-0.011126312077976763,5.6475866585969925e-05,0.005823374535750984,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,3171.7704344435474,2,0.0,0.0,0,0,0.0,0.0,0,0,1.941509023308754,-0.059104762971401215,-0.009985245764255524,3.893366374541074e-05,0.004887990576034427,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,3187.94058286686,3,0.0,0.0,0,0,0.0,0.0,0,0,1.943000078201294,-0.04823197238147259,-0.00885160337202251,4.9352299129168387e-05,0.0038653672646457964,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,3204.9674732500707,3,0.0,0.0,0,0,0.0,0.0,0,0,1.9422955811023712,-0.0433532097376883,-0.007300123106688261,2.803356164804427e-05,0.004096328310248427,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,3167.478119528776,4,0.0,0.0,0,0,0.0,0.0,0,0,1.9436587542295456,-0.035061844158917665,-0.006700642756186426,2.576484052951855e-05,0.0031248545051577774,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,3135.852667101333,5,0.0,0.0,0,0,0.0,0.0,0,0,1.94442118704319,-0.02866646507754922,-0.004463661840418354,2.0055135109942057e-05,0.001928357136339424,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,3105.32166967079,5,0.0,0.0,0,0,0.0,0.0,0,0,1.9445509314537048,-0.024116360349580646,-0.004585281596519053,1.4000030887473258e-05,0.0026631956613727362,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,3151.535180609289,6,0.0,0.0,0,0,0.0,0.0,0,0,1.9447367191314697,-0.019816041458398104,-0.003632453008322045,1.1027423852283391e-05,0.0018658031489646534,0.0,0.0,0,0
11,22528,3139.3068299264833,7,0.026387499645352364,0.10219834667450381,0.0,0.4221999943256378,80.25,310.8069135331452,0.0,1284.0,1.9434332102537155,-0.014816675567999482,-0.003712403849931434,0.00027544639692678174,0.0031353890701628206,0.026387499645352364,0.10219834667450381,0.0,0.4221999943256378
12,24576,3154.0879501540153,7,0.026387499645352364,0.10219834667450381,0.0,0.4221999943256378,80.25,310.8069135331452,0.0,1284.0,1.9443811923265457,-0.011882225633598864,-0.002361359045607969,1.1536112992871494e-05,0.0014880528657262456,0.026387499645352364,0.10219834667450381,0.0,0.4221999943256378
13,26624,3179.142369667124,8,0.026387499645352364,0.10219834667450381,0.0,0.4221999943256378,80.25,310.8069135331452,0.0,1284.0,1.9450372010469437,-0.009600560879334807,-0.0016729851922718808,6.628650567108707e-06,0.0008810913158664815,0.026387499645352364,0.10219834667450381,0.0,0.4221999943256378
14,28672,3165.3829726157282,9,0.026387499645352364,0.10219834667450381,0.0,0.4221999943256378,80.25,310.8069135331452,0.0,1284.0,1.9451650828123093,-0.008350208983756602,-0.0013907062384532765,9.471777843828022e-06,0.0012040823435540372,0.026387499645352364,0.10219834667450381,0.0,0.4221999943256378
15,30720,3152.8746955837764,9,0.026387499645352364,0.10219834667450381,0.0,0.4221999943256378,80.25,310.8069135331452,0.0,1284.0,1.9453645646572113,-0.007443534210324287,-0.0011389605424483307,8.035275300244393e-06,0.0008693385376222207,0.026387499645352364,0.10219834667450381,0.0,0.4221999943256378
16,32768,3159.6695791758902,10,0.026387499645352364,0.10219834667450381,0.0,0.4221999943256378,1955.25,173.3160047427819,1284.0,2000.0,1.945306435227394,-0.005533085088245571,-0.0015486615156987682,1.587355063747964e-05,0.0015146912070863048,0.026387499645352364,0.10219834667450381,0.0,0.4221999943256378
