update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
256,32768,3218.727739274323,8,0.32676249649375677,0.31745642260213924,0.0,0.8640999794006348,706.375,311.53769334544415,151.0,1000.0,1.9376955032348633,0.1521742045879364,-0.006406708620488644,0.00025268003810197115,tensor(0.0117),0.32676249649375677,0.31745642260213924,0.0,0.8640999794006348
256,32768,3821.226873171669,3,0.7153750024735928,0.12452383266426274,0.3898000121116638,0.9180999994277954,316.25,138.35981172291324,91.0,678.0,1.8702300786972046,0.08747680485248566,-0.0008910172618925571,0.0005391664453782141,tensor(0.0146),0.7153750024735928,0.12452383266426274,0.3898000121116638,0.9180999994277954
512,65536,3330.7333221661797,12,0.8786124996840954,0.09373180756430682,0.70660001039505,0.9901000261306763,134.875,104.14645637274462,11.0,326.0,1.7866878509521484,0.2513309121131897,-0.004318161867558956,0.0005376008921302855,tensor(0.0220),0.8786124996840954,0.09373180756430682,0.70660001039505,0.9901000261306763
768,98304,3589.3331193924078,21,0.8933500042185187,0.19988663972998702,0.156700000166893,0.9909999966621399,118.5,222.09626291317915,10.0,937.0,1.6528517007827759,0.4195709824562073,-0.008458230644464493,0.0004190854087937623,tensor(0.0677),0.8933500042185187,0.19988663972998702,0.156700000166893,0.9909999966621399
1024,131072,2925.248798561543,31,0.9433000031858683,0.12156040033126946,0.47620001435279846,0.9883000254631042,63.0,135.06711294760098,13.0,582.0,1.4024200439453125,0.7531321048736572,-0.003264416242018342,0.0016904950607568026,tensor(0.0654),0.9433000031858683,0.12156040033126946,0.47620001435279846,0.9883000254631042
1280,163840,3650.891602970378,41,0.9715937525033951,0.03327105502011676,0.852400004863739,0.9919000267982483,31.5625,36.967838640499394,9.0,164.0,1.3066855669021606,0.8523046970367432,-0.004886433947831392,0.0004451993154361844,tensor(0.0227),0.9715937525033951,0.03327105502011676,0.852400004863739,0.9919000267982483
1536,196608,3593.080565929138,51,0.9789062589406967,0.011013370593079556,0.9487000107765198,0.9901000261306763,23.4375,12.23707864443144,11.0,57.0,1.4059199094772339,0.8308674693107605,-0.008300571702420712,0.0002522522408980876,tensor(0.0120),0.9789062589406967,0.011013370593079556,0.9487000107765198,0.9901000261306763
