U 17 | F 034816 | FPS 2812 | D 12 | rR:μσmM 0.22 0.26 0.00 0.67 | F:μσmM 729.3 857.2 0.0 2013.0 | H 1.942 | V -0.002 | pL -0.001 | vL 0.000 | ∇ 0.003
U 18 | F 036864 | FPS 2788 | D 13 | rR:μσmM 0.22 0.26 0.00 0.67 | F:μσmM 729.3 857.2 0.0 2013.0 | H 1.944 | V 0.002 | pL 0.000 | vL 0.000 | ∇ 0.001
U 19 | F 038912 | FPS 2814 | D 14 | rR:μσmM 0.22 0.26 0.00 0.67 | F:μσmM 729.3 857.2 0.0 2013.0 | H 1.945 | V 0.000 | pL 0.000 | vL 0.000 | ∇ 0.001
U 20 | F 040960 | FPS 2825 | D 14 | rR:μσmM 0.22 0.26 0.00 0.67 | F:μσmM 729.3 857.2 0.0 2013.0 | H 1.944 | V 0.001 | pL 0.000 | vL 0.000 | ∇ 0.002
Status saved
U 21 | F 043008 | FPS 2786 | D 15 | rR:μσmM 0.23 0.25 0.00 0.67 | F:μσmM 892.4 946.5 0.0 2609.0 | H 1.944 | V 0.001 | pL -0.002 | vL 0.000 | ∇ 0.004
U 22 | F 045056 | FPS 2769 | D 16 | rR:μσmM 0.23 0.25 0.00 0.67 | F:μσmM 892.4 946.5 0.0 2609.0 | H 1.945 | V 0.001 | pL -0.000 | vL 0.000 | ∇ 0.001
U 23 | F 047104 | FPS 2739 | D 17 | rR:μσmM 0.28 0.27 0.00 0.69 | F:μσmM 958.0 918.3 0.0 2609.0 | H 1.938 | V 0.008 | pL -0.006 | vL 0.001 | ∇ 0.016
U 24 | F 049152 | FPS 2828 | D 17 | rR:μσmM 0.23 0.25 0.00 0.69 | F:μσmM 2389.1 690.8 1050.0 3000.0 | H 1.943 | V 0.013 | pL 0.002 | vL 0.000 | ∇ 0.005
U 25 | F 051200 | FPS 2810 | D 18 | rR:μσmM 0.23 0.25 0.00 0.69 | F:μσmM 2389.1 690.8 1050.0 3000.0 | H 1.944 | V 0.013 | pL 0.003 | vL 0.000 | ∇ 0.002
U 26 | F 053248 | FPS 2804 | D 19 | rR:μσmM 0.23 0.25 0.00 0.69 | F:μσmM 2389.1 690.8 1050.0 3000.0 | H 1.944 | V 0.012 | pL 0.002 | vL 0.000 | ∇ 0.001
U 27 | F 055296 | FPS 2798 | D 19 | rR:μσmM 0.23 0.25 0.00 0.69 | F:μσmM 2389.1 690.8 1050.0 3000.0 | H 1.945 | V 0.008 | pL 0.002 | vL 0.000 | ∇ 0.001
U 28 | F 057344 | FPS 2788 | D 20 | rR:μσmM 0.23 0.25 0.00 0.69 | F:μσmM 2389.1 690.8 1050.0 3000.0 | H 1.945 | V 0.006 | pL 0.001 | vL 0.000 | ∇ 0.001
